frequence_id,calendrier_id,jour,quantite
1,1,2023-01-03,1
1,1,2023-01-10,1
1,1,2023-01-17,1
1,1,2023-01-24,1
1,1,2023-01-31,1
1,1,2023-02-07,1
1,1,2023-02-14,1
1,1,2023-02-21,1
1,1,2023-02-28,1
1,1,2023-03-07,1
1,1,2023-03-14,1
1,1,2023-03-21,1
1,1,2023-03-28,1
1,1,2023-04-04,1
1,1,2023-04-11,1
1,1,2023-04-18,1
1,1,2023-04-25,1
1,1,2023-05-02,1
1,1,2023-05-09,1
1,1,2023-05-16,1
1,1,2023-05-23,1
1,1,2023-05-30,1
1,1,2023-06-06,1
1,1,2023-06-13,1
1,1,2023-06-20,1
1,1,2023-06-27,1
1,1,2023-07-04,1
1,1,2023-07-11,1
1,1,2023-07-18,1
1,1,2023-07-25,1
1,1,2023-08-01,1
1,1,2023-08-08,1
1,1,2023-08-16,1
1,1,2023-08-22,1
1,1,2023-08-29,1
1,1,2023-09-05,1
1,1,2023-09-12,1
1,1,2023-09-19,1
1,1,2023-09-26,1
1,1,2023-10-03,1
1,1,2023-10-10,1
1,1,2023-10-17,1
1,1,2023-10-24,1
1,1,2023-10-31,1
1,1,2023-11-07,1
1,1,2023-11-14,1
1,1,2023-11-21,1
1,1,2023-11-28,1
1,1,2023-12-05,1
1,1,2023-12-12,1
3,1,2023-01-03,0
3,1,2023-01-10,0
3,1,2023-01-17,0
3,1,2023-01-24,0
3,1,2023-01-31,0
3,1,2023-02-07,0
3,1,2023-02-14,0
3,1,2023-02-21,0
3,1,2023-02-28,0
3,1,2023-03-07,0
3,1,2023-03-14,0
3,1,2023-03-21,0
3,1,2023-03-28,0
3,1,2023-04-04,0
3,1,2023-04-11,0
3,1,2023-04-18,0
3,1,2023-04-25,0
3,1,2023-05-02,0
3,1,2023-05-09,0
3,1,2023-05-16,0
3,1,2023-05-23,0
3,1,2023-05-30,0
3,1,2023-06-06,0
3,1,2023-06-13,0
3,1,2023-06-20,0
3,1,2023-06-27,0
3,1,2023-07-04,0
3,1,2023-07-11,0
3,1,2023-07-18,0
3,1,2023-07-25,0
3,1,2023-08-01,0
3,1,2023-08-08,0
3,1,2023-08-16,0
3,1,2023-08-22,0
3,1,2023-08-29,0
3,1,2023-09-05,0
3,1,2023-09-12,0
3,1,2023-09-19,0
3,1,2023-09-26,0
3,1,2023-10-03,0
3,1,2023-10-10,0
3,1,2023-10-17,0
3,1,2023-10-24,0
3,1,2023-10-31,0
3,1,2023-11-07,0
3,1,2023-11-14,0
3,1,2023-11-21,0
3,1,2023-11-28,0
3,1,2023-12-05,0
3,1,2023-12-12,0
2,1,2023-01-03,1
2,1,2023-01-10,0
2,1,2023-01-17,1
2,1,2023-01-24,0
2,1,2023-01-31,0
2,1,2023-02-07,1
2,1,2023-02-14,0
2,1,2023-02-21,1
2,1,2023-02-28,0
2,1,2023-03-07,1
2,1,2023-03-14,0
2,1,2023-03-21,1
2,1,2023-03-28,0
2,1,2023-04-04,1
2,1,2023-04-11,0
2,1,2023-04-18,1
2,1,2023-04-25,0
2,1,2023-05-02,1
2,1,2023-05-09,0
2,1,2023-05-16,1
2,1,2023-05-23,0
2,1,2023-05-30,0
2,1,2023-06-06,1
2,1,2023-06-13,0
2,1,2023-06-20,1
2,1,2023-06-27,0
2,1,2023-07-04,1
2,1,2023-07-11,0
2,1,2023-07-18,1
2,1,2023-07-25,0
2,1,2023-08-01,1
2,1,2023-08-08,0
2,1,2023-08-16,1
2,1,2023-08-22,0
2,1,2023-08-29,1
2,1,2023-09-05,0
2,1,2023-09-12,1
2,1,2023-09-19,0
2,1,2023-09-26,1
2,1,2023-10-03,0
2,1,2023-10-10,1
2,1,2023-10-17,0
2,1,2023-10-24,1
2,1,2023-10-31,0
2,1,2023-11-07,1
2,1,2023-11-14,0
2,1,2023-11-21,1
2,1,2023-11-28,0
2,1,2023-12-05,1
2,1,2023-12-12,1
1,2,2023-01-04,1
1,2,2023-01-11,1
1,2,2023-01-18,1
1,2,2023-01-25,1
1,2,2023-02-01,1
1,2,2023-02-08,1
1,2,2023-02-15,1
1,2,2023-02-22,1
1,2,2023-03-01,1
1,2,2023-03-08,1
1,2,2023-03-15,1
1,2,2023-03-22,1
1,2,2023-03-29,1
1,2,2023-04-05,1
1,2,2023-04-12,1
1,2,2023-04-19,1
1,2,2023-04-26,1
1,2,2023-05-03,1
1,2,2023-05-10,1
1,2,2023-05-17,1
1,2,2023-05-24,1
1,2,2023-05-31,1
1,2,2023-06-07,1
1,2,2023-06-14,1
1,2,2023-06-21,1
1,2,2023-06-28,1
1,2,2023-07-05,1
