"id","abonnement_id","distribution_id","qte","livre","planning_id"
101369,22475,12,1,1,753
101370,22475,12,1,1,752
101371,22554,12,1,1,761
101372,22783,12,1,1,785
101373,22784,12,1,1,785
101375,22436,44,1,1,902
101376,21756,47,1,1,910
101377,21756,47,1,1,912
101378,21756,47,1,1,915
101379,21756,47,1,1,917
101380,21756,47,1,1,919
101381,21756,47,1,1,921
101382,21756,47,1,1,923
101383,21756,47,1,1,925
101384,21756,47,1,1,928
101385,21756,47,1,1,930
101386,21756,47,1,1,932
101387,21756,47,1,1,934
101388,21756,47,1,1,936
101389,21756,47,1,1,938
101390,21756,47,1,1,940
101391,21756,47,1,1,942
101392,21756,47,1,1,944
101393,21756,47,1,1,946
101394,21756,47,1,1,948
101395,21756,47,1,1,950
101396,21756,47,1,1,951
101397,21786,76,1,1,907
101398,21181,76,1,1,902
101399,22148,76,1,1,902
101400,22239,76,1,1,902
101401,22347,76,1,1,902
101402,22556,80,1,1,1590
101403,22437,82,1,1,1582
101404,22466,94,1,1,1583
101405,22466,94,1,1,1582
101406,22587,99,1,1,1616
101407,22587,99,1,1,1617
101408,22587,99,1,1,1618
101409,22587,99,1,1,1619
101410,22587,99,1,1,1620
101411,22587,99,1,1,1621
101412,22587,99,1,1,1622
101413,22587,99,1,1,1623
101414,22587,99,1,1,1624
101415,22587,99,1,1,1625
101416,22587,99,1,1,1626
101417,22587,99,1,1,1627
101418,22587,99,1,1,1628
101419,22587,99,1,1,1629
101420,22587,99,1,1,1630
101421,22587,99,1,1,1631
101422,22631,99,1,1,1602
101423,22632,99,1,1,1616
101424,22632,99,1,1,1617
101425,22632,99,1,1,1618
101426,22632,99,1,1,1619
101427,22632,99,1,1,1620
101428,22632,99,1,1,1621
101429,22632,99,1,1,1622
101430,22632,99,1,1,1623
101431,22632,99,1,1,1624
101432,22632,99,1,1,1625
101433,22632,99,1,1,1626
101434,22632,99,1,1,1627
101435,22632,99,1,1,1628
101436,22632,99,1,1,1629
101437,22632,99,1,1,1630
101438,22632,99,1,1,1631
101439,23009,1,1,0,46
101440,23009,1,1,0,47
101441,23009,1,1,0,48
101442,23009,1,1,0,147
101443,23009,1,1,0,148
101444,23016,1,1,0,44
101445,23016,1,1,0,45
101446,23016,1,1,0,46
101447,23169,1,1,0,44
101448,23169,1,1,0,45
101449,23169,1,1,0,46
101450,23169,1,1,0,47
101451,23169,1,1,0,48
101452,23169,1,1,0,147
101453,23169,1,1,0,148
101454,23196,1,1,0,47
101455,23196,1,1,0,48
101456,23196,1,1,0,147
101457,23196,1,1,0,148
101458,23240,1,1,0,44
101459,23240,1,1,0,45
101460,23240,1,1,0,46
101461,23240,1,1,0,47
101462,23240,1,1,0,48
101463,23240,1,1,0,147
101464,23240,1,1,0,148
101465,23255,1,1,0,44
101466,23255,1,1,0,45
101467,23255,1,1,0,46
101468,23255,1,1,0,47
101469,23255,1,1,0,48
101470,23255,1,1,0,147
101471,23255,1,1,0,148
101472,23282,1,1,0,45
101473,23282,1,1,0,46
101474,23282,1,1,0,47
101475,23282,1,1,0,48
101476,23282,1,1,0,147
101477,23282,1,1,0,148
101478,23302,1,1,0,44
101479,23302,1,1,0,45
101480,23302,1,1,0,46
101481,23302,1,1,0,47
101482,23302,1,1,0,48
101483,23302,1,1,0,147
101484,23302,1,1,0,148
101485,23567,1,1,0,44
101486,23567,1,1,0,45
101487,23567,1,1,0,46
101488,23567,1,1,0,47
101489,23567,1,1,0,48
101490,23567,1,1,0,147
101491,23567,1,1,0,148
101492,23629,1,1,0,44
101493,23629,1,1,0,45
101494,23629,1,1,0,46
101495,23629,1,1,0,47
101496,23629,1,1,0,48
101497,23629,1,1,0,147
101498,23629,1,1,0,148
101499,23786,1,1,0,44
101500,23786,1,1,0,45
101501,23786,1,1,0,46
101502,23786,1,1,0,47
101503,23786,1,1,0,48
101504,23786,1,1,0,147
101505,23786,1,1,0,148
101506,24469,1,1,0,44
101507,24469,1,1,0,45
101508,24469,1,1,0,46
101509,24469,1,1,0,47
101510,24469,1,1,0,48
101511,24469,1,1,0,147
101512,24469,1,1,0,148
101513,24528,1,1,0,44
101514,24528,1,1,0,45
101515,24528,1,1,0,46
101516,24528,1,1,0,47
101517,24528,1,1,0,48
101518,24528,1,1,0,147
101519,24528,1,1,0,148
101520,24293,1,1,0,44
101521,24293,1,1,0,45
101522,24293,1,1,0,46
101523,24293,1,1,0,47
101524,24293,1,1,0,48
101525,24293,1,1,0,147
101526,24293,1,1,0,148
101527,24405,1,1,0,47
101528,24405,1,1,0,48
101529,24405,1,1,0,147
101530,24405,1,1,0,148
101531,24692,2,1,0,44
101532,24692,2,1,0,45
101533,24692,2,1,0,46
101534,24692,2,1,0,47
101535,24692,2,1,0,48
101536,24692,2,1,0,147
101537,24692,2,1,0,148
101538,24693,2,1,0,44
101539,24693,2,1,0,45
101540,24693,2,1,0,46
101541,24693,2,1,0,47
101542,24693,2,1,0,48
101543,24693,2,1,0,147
101544,24693,2,1,0,148
101545,24694,2,1,0,44
101546,24694,2,1,0,45
101547,24694,2,1,0,46
101548,24694,2,1,0,47
101549,24694,2,1,0,48
101550,24694,2,1,0,147
101551,24694,2,1,0,148
101552,24695,2,1,0,44
101553,24695,2,1,0,45
101554,24695,2,1,0,46
101555,24695,2,1,0,47
101556,24695,2,1,0,48
101557,24695,2,1,0,147
101558,24695,2,1,0,148
101559,24696,2,1,0,44
101560,24696,2,1,0,45
101561,24696,2,1,0,46
101562,24696,2,1,0,47
101563,24696,2,1,0,48
101564,24696,2,1,0,147
101565,24696,2,1,0,148
101566,24697,2,1,0,44
101567,24697,2,1,0,45
101568,24697,2,1,0,46
101569,24697,2,1,0,47
101570,24697,2,1,0,48
101571,24697,2,1,0,147
101572,24697,2,1,0,148
101573,24698,2,1,0,44
101574,24698,2,1,0,45
101575,24698,2,1,0,46
101576,24698,2,1,0,47
101577,24698,2,1,0,48
101578,24698,2,1,0,147
101579,24698,2,1,0,148
101580,24699,2,1,0,44
101581,24699,2,1,0,45
101582,24699,2,1,0,46
101583,24699,2,1,0,47
101584,24699,2,1,0,48
101585,24699,2,1,0,147
101586,24699,2,1,0,148
101587,24700,2,1,0,44
101588,24700,2,1,0,45
101589,24700,2,1,0,46
101590,24700,2,1,0,47
101591,24700,2,1,0,48
101592,24700,2,1,0,147
101593,24700,2,1,0,148
101594,24701,2,1,0,44
101595,24701,2,1,0,45
101596,24701,2,1,0,46
101597,24701,2,1,0,47
101598,24701,2,1,0,48
101599,24701,2,1,0,147
101600,24701,2,1,0,148
101601,24751,2,1,0,44
101602,24751,2,1,0,45
101603,24751,2,1,0,46
101604,24751,2,1,0,47
101605,24751,2,1,0,48
101606,24751,2,1,0,147
101607,24751,2,1,0,148
101608,24752,2,1,0,44
101609,24752,2,1,0,45
101610,24752,2,1,0,46
101611,24752,2,1,0,47
101612,24752,2,1,0,48
101613,24752,2,1,0,147
101614,24752,2,1,0,148
101615,24753,2,1,0,44
101616,24753,2,1,0,45
101617,24753,2,1,0,46
101618,24753,2,1,0,47
101619,24753,2,1,0,48
101620,24753,2,1,0,147
101621,24753,2,1,0,148
101622,24754,2,1,0,44
101623,24754,2,1,0,45
101624,24754,2,1,0,46
101625,24754,2,1,0,47
101626,24754,2,1,0,48
101627,24754,2,1,0,147
101628,24754,2,1,0,148
101629,24755,2,1,0,44
101630,24755,2,1,0,45
101631,24755,2,1,0,46
101632,24755,2,1,0,47
101633,24755,2,1,0,48
101634,24755,2,1,0,147
101635,24755,2,1,0,148
101636,23612,3,1,0,44
101637,23612,3,1,0,45
101638,23612,3,1,0,46
101639,23612,3,1,0,47
101640,23612,3,1,0,48
101641,23612,3,1,0,147
101642,23612,3,1,0,148
101643,23619,3,1,0,44
101644,23619,3,1,0,45
101645,23619,3,1,0,46
101646,23619,3,1,0,47
101647,23619,3,1,0,48
101648,23619,3,1,0,147
101649,23619,3,1,0,148
101650,23650,3,1,0,44
101651,23650,3,1,0,45
101652,23650,3,1,0,46
101653,23650,3,1,0,47
101654,23650,3,1,0,48
101655,23650,3,1,0,147
101656,23650,3,1,0,148
101657,23138,3,1,0,45
101658,23138,3,1,0,47
101659,23138,3,1,0,147
101660,23138,3,1,0,148
101661,23733,3,1,0,45
101662,23733,3,1,0,47
101663,23733,3,1,0,147
101664,23733,3,1,0,148
101665,24010,3,1,0,45
101666,24010,3,1,0,47
101667,24010,3,1,0,147
101668,24010,3,1,0,148
101669,24324,3,1,0,44
101670,24324,3,1,0,45
101671,24324,3,1,0,46
101672,24324,3,1,0,47
101673,24324,3,1,0,48
101674,24324,3,1,0,147
101675,24324,3,1,0,148
101676,24591,3,1,0,44
101677,24591,3,1,0,45
101678,24591,3,1,0,46
101679,24591,3,1,0,47
101680,24591,3,1,0,48
101681,24591,3,1,0,147
101682,24591,3,1,0,148
101683,24882,3,1,0,44
101684,24882,3,1,0,45
101685,24882,3,1,0,46
101686,24882,3,1,0,47
101687,24882,3,1,0,48
101688,24882,3,1,0,147
101689,24882,3,1,0,148
101690,23045,3,1,0,44
101691,23045,3,1,0,45
101692,23045,3,1,0,46
101693,23045,3,1,0,47
101694,23045,3,1,0,48
101695,23045,3,1,0,147
101696,23045,3,1,0,148
101697,23191,3,1,0,44
101698,23191,3,1,0,45
101699,23191,3,1,0,46
101700,23191,3,1,0,47
101701,23191,3,1,0,48
101702,23191,3,1,0,147
101703,23191,3,1,0,148
101704,23414,3,1,0,44
101705,23414,3,1,0,45
101706,23414,3,1,0,46
101707,23414,3,1,0,47
101708,23414,3,1,0,48
101709,23414,3,1,0,147
101710,23414,3,1,0,148
101711,22972,4,1,0,46
101712,22972,4,1,0,47
101713,22972,4,1,0,48
101714,22972,4,1,0,147
101715,22972,4,1,0,148
101716,23025,4,1,0,46
101717,23025,4,1,0,47
101718,23025,4,1,0,48
101719,23025,4,1,0,147
101720,23025,4,1,0,148
101721,23343,4,1,0,44
101722,23343,4,1,0,45
101723,23343,4,1,0,46
101724,23343,4,1,0,47
101725,23343,4,1,0,48
101726,23343,4,1,0,147
101727,23343,4,1,0,148
101728,23366,4,1,0,44
101729,23366,4,1,0,45
101730,23366,4,1,0,46
101731,23366,4,1,0,47
101732,23366,4,1,0,48
101733,23366,4,1,0,147
101734,23366,4,1,0,148
101735,23520,4,1,0,44
101736,23520,4,1,0,45
101737,23520,4,1,0,46
101738,23520,4,1,0,47
101739,23520,4,1,0,48
101740,23520,4,1,0,147
101741,23520,4,1,0,148
101742,23809,4,1,0,45
101743,23809,4,1,0,46
101744,23809,4,1,0,47
101745,23809,4,1,0,48
101746,23809,4,1,0,147
101747,23809,4,1,0,148
101748,24497,4,1,0,44
101749,24497,4,1,0,45
101750,24497,4,1,0,46
101751,24497,4,1,0,47
101752,24497,4,1,0,48
101753,24497,4,1,0,147
101754,24497,4,1,0,148
101755,24737,4,1,0,44
101756,24737,4,1,0,45
101757,24737,4,1,0,46
101758,24737,4,1,0,47
101759,24737,4,1,0,48
101760,24737,4,1,0,147
101761,24737,4,1,0,148
101762,24739,4,1,0,44
101763,24739,4,1,0,45
101764,24739,4,1,0,46
101765,24739,4,1,0,47
101766,24739,4,1,0,48
101767,24739,4,1,0,147
101768,24739,4,1,0,148
101769,24775,4,1,0,44
101770,24775,4,1,0,45
101771,24775,4,1,0,46
101772,24775,4,1,0,47
101773,24775,4,1,0,48
101774,24775,4,1,0,147
101775,24775,4,1,0,148
101776,22944,4,1,0,44
101777,22944,4,1,0,46
101778,22944,4,1,0,48
101779,22944,4,1,0,148
101780,23464,4,1,0,44
101781,23464,4,1,0,45
101782,23464,4,1,0,47
101783,23464,4,1,0,147
101784,23464,4,1,0,148
101785,24215,4,1,0,44
101786,24215,4,1,0,46
101787,24215,4,1,0,48
101788,24215,4,1,0,148
101789,24347,4,1,0,45
101790,24347,4,1,0,46
101791,24347,4,1,0,47
101792,24347,4,1,0,48
101793,24347,4,1,0,147
101794,24347,4,1,0,148
101795,24740,4,1,0,44
101796,24740,4,1,0,45
101797,24740,4,1,0,46
101798,24740,4,1,0,47
101799,24740,4,1,0,48
101800,24740,4,1,0,147
101801,24740,4,1,0,148
101802,22976,5,1,0,44
101803,22976,5,1,0,45
101804,22976,5,1,0,46
101805,22976,5,1,0,47
101806,22976,5,1,0,48
101807,22976,5,1,0,147
101808,22976,5,1,0,148
101809,23573,5,1,0,44
101810,23573,5,1,0,45
101811,23573,5,1,0,46
101812,23573,5,1,0,47
101813,23573,5,1,0,48
101814,23573,5,1,0,147
101815,23573,5,1,0,148
101816,23607,5,1,0,44
101817,23607,5,1,0,45
101818,23607,5,1,0,46
101819,23607,5,1,0,47
101820,23607,5,1,0,48
101821,23607,5,1,0,147
101822,23607,5,1,0,148
101823,23801,5,1,0,44
101824,23801,5,1,0,45
101825,23801,5,1,0,46
101826,23801,5,1,0,47
101827,23801,5,1,0,48
101828,23801,5,1,0,147
101829,23801,5,1,0,148
101830,24566,5,1,0,44
101831,24566,5,1,0,46
101832,24566,5,1,0,47
101833,24566,5,1,0,48
101834,24566,5,1,0,147
101835,24566,5,1,0,148
101836,23446,5,1,0,44
101837,23446,5,1,0,45
101838,23446,5,1,0,46
101839,23446,5,1,0,47
101840,23446,5,1,0,48
101841,23446,5,1,0,147
101842,23446,5,1,0,148
101843,23364,5,1,0,45
101844,23364,5,1,0,47
101845,23364,5,1,0,147
101846,23364,5,1,0,148
101847,24305,5,1,0,45
101848,24305,5,1,0,47
101849,24305,5,1,0,147
101850,24305,5,1,0,148
101851,23793,5,1,0,44
101852,23793,5,1,0,45
101853,23793,5,1,0,46
101854,23793,5,1,0,47
101855,23793,5,1,0,48
101856,23793,5,1,0,147
101857,23793,5,1,0,148
101858,23494,5,1,0,45
101859,23494,5,1,0,47
101860,23494,5,1,0,147
101861,23494,5,1,0,148
101862,24225,5,1,0,44
101863,24225,5,1,0,45
101864,24225,5,1,0,46
101865,24225,5,1,0,47
101866,24225,5,1,0,48
101867,24225,5,1,0,147
101868,24225,5,1,0,148
101869,24534,5,1,0,44
101870,24534,5,1,0,45
101871,24534,5,1,0,46
101872,24534,5,1,0,47
101873,24534,5,1,0,48
101874,24534,5,1,0,147
101875,24534,5,1,0,148
101876,24549,5,1,0,44
101877,24549,5,1,0,45
101878,24549,5,1,0,46
101879,24549,5,1,0,47
101880,24549,5,1,0,48
101881,24549,5,1,0,147
101882,24549,5,1,0,148
101883,24684,5,1,0,44
101884,24684,5,1,0,45
101885,24684,5,1,0,46
101886,24684,5,1,0,47
101887,24684,5,1,0,48
101888,24684,5,1,0,147
101889,24684,5,1,0,148
101890,22989,6,1,0,45
